 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85	Mean86	Mean87	Mean88	Mean89	Mean90	Mean91	Mean92	Mean93	Mean94	Mean95	Mean96	Mean97	Mean98	Mean99	Mean100	Mean101	Mean102	Mean103	Mean104	Mean105
702	268.008	258.586	330.040	339.639	718.261	738.191	291.886	690.372	1249.942	912.422	1466.442	277.732	295.538	495.756	291.805	432.650	378.857	444.754	913.864	7057.916	1295.910	394.197	1066.318	599.235	375.440	892.920	600.225	436.320	766.597	1732.294	1516.082	1310.774	874.045	423.030	1116.112	561.662	2579.565	1206.852	1455.108	1222.201	2477.197	746.409	5168.504	1783.637	1057.492	807.572	1615.267	660.398	1343.986	1415.842	1450.737	719.600	2491.263	545.730	578.646	590.592	900.381	1965.279	2490.269	1454.256	2776.608	989.401	686.390	834.389	404.984	741.103	782.100	445.236	5447.994	1948.871	1456.888	2418.141	820.354	1042.365	1422.042	4248.209	947.473	2941.824	1909.826	1495.440	551.918	1028.854	899.493	464.934	1418.828	560.967	1420.485	281.862	448.064	253.440	1327.278	772.366	2673.819	2634.271	1594.964	1011.664	1523.978	2834.142	245.818	467.792	1762.795	429.540	558.053	434.218	763.125
703	281.800	264.921	360.404	324.476	730.250	675.063	307.324	592.139	1200.610	812.102	1496.280	261.595	328.747	509.177	291.903	502.049	348.241	451.957	858.680	6602.030	1351.622	396.654	1044.727	625.368	304.625	873.080	626.904	446.022	769.401	1571.962	1413.657	1153.735	809.654	427.856	1046.059	548.267	2642.295	1049.533	1305.259	1210.766	2203.146	735.470	5335.650	1723.658	956.325	766.322	1646.594	652.952	1192.441	1495.204	1520.400	694.490	2387.215	638.993	567.360	557.775	961.804	1878.039	2209.032	1455.028	3102.920	1028.691	612.793	713.799	393.412	714.920	783.225	444.421	5257.128	1905.974	1445.600	2452.756	778.351	965.121	1438.133	4242.935	890.140	2666.783	1872.644	1665.724	621.646	1014.453	933.560	452.290	1362.287	491.770	1348.491	295.574	391.129	262.900	1212.491	768.794	2395.778	2471.207	1575.313	1031.055	1317.164	2590.646	222.265	461.610	1819.103	425.518	549.628	440.698	771.307
704	262.785	253.768	309.831	341.308	680.207	755.943	306.624	605.525	999.075	797.764	1435.737	287.913	306.126	475.668	280.206	495.662	334.880	421.926	881.898	6489.315	1311.601	360.308	971.682	593.806	324.545	810.789	628.747	397.405	684.016	1508.804	1414.579	1144.619	774.949	438.824	1065.748	588.533	2500.746	1123.952	1469.103	1168.392	2326.047	703.323	5041.405	1669.549	973.504	743.579	1759.909	757.608	1229.570	1401.895	1401.989	703.304	2363.484	552.982	575.282	589.065	817.415	1922.775	2141.549	1415.120	2620.659	925.527	565.532	670.231	384.609	670.303	870.166	437.753	4963.894	1777.148	1377.385	2539.179	904.175	851.454	1370.028	3696.846	894.356	2675.751	1997.903	1407.785	501.521	1076.901	771.371	476.834	1221.040	534.366	1300.683	287.162	424.824	258.437	1222.418	730.903	2425.854	2613.427	1417.634	1133.301	1389.291	2667.843	231.363	400.268	1726.166	385.191	526.848	451.787	694.720
705	264.006	257.421	355.397	368.469	804.414	626.111	295.890	604.676	976.574	768.616	1383.609	278.294	306.625	505.774	272.825	460.440	360.706	446.295	946.220	6610.700	1288.433	391.667	1063.562	692.183	343.261	798.046	587.496	494.999	676.133	1523.011	1502.538	1109.047	854.990	447.521	991.481	498.251	2343.742	1054.579	1468.091	1168.992	2046.896	586.911	4974.678	1627.837	1019.249	711.271	1598.710	644.739	1268.857	1327.971	1380.750	672.361	2029.328	548.187	639.340	568.554	822.925	1911.939	2182.356	1447.701	2620.026	962.378	588.415	767.003	399.077	678.977	855.130	446.075	4950.469	1744.780	1270.188	2236.756	858.150	857.010	1338.305	3829.761	828.358	2619.325	1971.997	1579.452	549.328	1001.233	745.255	457.750	1313.791	487.165	1296.478	271.381	421.234	262.641	1186.263	787.296	2156.315	2529.611	1358.769	1026.165	1342.994	2468.518	235.483	431.744	1713.310	356.771	496.026	467.612	648.943
706	236.226	264.743	342.762	353.242	684.567	690.615	297.386	659.863	1078.510	756.573	1263.669	280.443	296.026	476.644	275.386	495.554	347.392	401.934	826.782	6316.484	1180.937	381.368	1017.433	555.537	318.032	788.237	623.979	451.220	730.246	1441.122	1432.589	1131.661	844.774	426.512	1010.837	629.323	2228.720	1077.750	1460.345	1090.817	2085.085	702.548	5066.269	1595.181	1023.572	659.372	1568.979	589.850	1261.769	1335.642	1402.214	649.321	1978.674	525.062	563.877	558.022	755.468	1733.890	2022.513	1376.025	2830.836	832.674	571.289	672.744	389.115	571.882	842.985	448.282	4315.045	1538.113	1258.650	2380.576	797.794	928.143	1407.859	3546.191	745.850	2435.987	1820.767	1532.137	514.798	997.271	820.517	426.458	1185.594	551.728	1306.641	287.732	399.874	267.972	1232.056	720.679	2068.177	2443.505	1413.718	1127.887	1299.786	2662.848	237.411	412.577	1664.163	368.754	477.478	412.321	617.070
707	281.557	249.879	333.483	348.463	695.231	717.918	293.569	616.662	1060.735	703.167	1367.492	263.943	273.398	471.327	275.824	455.583	355.806	411.020	771.483	6032.572	1156.292	356.459	969.968	584.895	297.453	740.932	584.897	377.055	674.419	1360.539	1399.813	1151.639	833.631	425.201	1034.886	518.056	2241.252	1177.793	1405.662	971.670	1971.399	598.653	5109.208	1467.819	929.426	650.692	1536.600	603.060	1094.941	1225.989	1365.428	639.618	1891.312	609.908	562.123	550.820	705.295	1691.847	1965.255	1376.247	2505.351	905.999	596.410	641.184	424.906	689.316	748.223	462.449	4351.195	1535.555	1225.293	2297.232	709.348	793.294	1302.185	3423.817	884.031	2314.653	1969.279	1497.332	510.239	921.449	838.002	422.546	1215.024	460.403	1211.874	266.944	445.277	249.526	1062.701	704.747	2190.396	2596.814	1372.113	955.754	1421.622	2375.691	232.146	445.627	1577.701	405.930	502.380	430.628	627.439
708	252.567	255.852	305.381	349.745	778.430	611.161	288.404	633.655	1078.212	725.770	1424.993	280.349	284.885	458.303	282.053	445.607	351.463	434.225	791.134	5804.082	1131.028	359.187	1003.569	590.783	287.024	835.630	623.542	377.685	795.016	1387.229	1317.042	1221.758	834.278	420.176	962.076	517.407	2051.116	1088.875	1419.305	1061.124	1930.835	641.432	4778.344	1706.007	908.204	687.241	1592.770	644.362	1203.801	1290.578	1334.929	710.477	1843.598	555.647	559.987	527.279	759.187	1787.747	1947.727	1422.571	2574.109	840.535	587.615	677.781	358.504	635.787	803.431	432.861	4051.972	1529.007	1317.845	2415.862	827.468	759.157	1337.406	3166.011	780.726	2156.395	1951.784	1472.345	530.789	895.787	776.604	445.685	1123.338	510.449	1251.572	274.957	455.587	279.674	1086.620	691.997	1955.028	2322.807	1182.410	1043.168	1422.341	2183.870	251.010	391.569	1711.588	392.444	495.409	387.710	654.730
709	257.372	244.985	343.924	345.183	685.798	541.047	303.798	594.840	989.630	642.694	1503.377	272.170	300.902	436.608	263.314	487.908	363.045	411.775	854.433	5664.650	1233.555	381.182	870.230	586.192	330.382	848.914	605.409	392.507	666.392	1278.169	1394.555	1075.731	746.856	406.225	939.823	544.630	2046.815	1022.707	1529.621	1160.933	1791.026	653.148	4533.115	1558.751	1028.780	675.016	1584.046	639.170	1228.294	1121.976	1331.257	599.171	1777.674	536.804	520.957	533.130	693.246	1674.488	1978.991	1311.735	2279.961	867.647	612.977	562.913	404.344	657.434	818.302	445.260	4008.765	1494.783	1313.734	2257.189	696.657	764.897	1260.844	2989.281	822.529	2143.482	1873.496	1512.583	489.035	936.443	738.252	437.602	1233.503	550.644	1273.054	276.125	425.605	266.387	1059.380	743.894	1883.602	2401.866	1202.552	935.423	1440.950	2016.497	244.750	407.444	1660.183	399.024	503.524	427.676	653.416
710	250.796	243.418	350.533	342.839	693.097	642.674	290.239	613.507	1025.710	668.068	1262.236	275.362	279.387	506.144	278.243	449.218	391.771	399.809	847.392	5488.357	1186.542	343.671	915.429	603.818	311.616	791.563	548.994	405.380	720.034	1281.936	1150.728	1023.848	846.220	448.604	944.289	517.346	2059.303	1128.202	1350.091	1059.845	1759.064	590.747	4735.968	1588.955	1014.568	648.906	1629.573	626.019	1139.371	1150.646	1320.467	660.442	1774.802	563.315	562.403	522.517	690.395	1559.026	1843.467	1299.401	2394.016	862.992	543.968	614.650	414.674	634.455	778.008	414.984	3593.022	1469.655	1322.664	2323.122	766.493	802.179	1208.291	2915.980	724.471	2131.819	1946.758	1565.509	507.282	997.603	691.230	408.524	1186.465	478.471	1278.667	274.858	437.523	273.991	1089.127	674.520	1778.515	2454.901	1382.080	1025.980	1471.034	2362.827	234.672	378.735	1588.811	365.805	503.568	379.094	694.950
711	264.601	247.527	324.245	348.951	651.358	635.869	291.950	630.607	894.967	633.696	1421.552	259.208	339.985	431.937	272.441	452.937	351.746	388.623	823.912	5304.596	1040.234	350.664	903.828	575.579	295.629	736.910	649.859	389.737	734.063	1286.005	1311.331	1152.419	778.927	363.965	972.837	559.197	2036.500	956.329	1303.834	1013.786	1679.631	646.531	4814.482	1641.367	1081.385	586.595	1574.286	660.357	1090.112	1123.541	1244.426	722.109	1638.181	573.420	566.836	523.504	680.680	1445.419	1784.917	1312.596	2496.569	820.551	558.826	628.980	433.752	556.509	817.327	425.802	3537.663	1294.186	1281.231	2442.737	664.496	769.371	1202.588	2912.069	832.971	2098.691	1770.185	1569.306	585.570	928.249	655.272	420.725	1185.031	507.693	1336.230	298.961	446.096	263.270	1061.443	740.633	1750.571	2456.267	1284.313	948.128	1428.947	2195.821	218.508	385.422	1583.083	380.590	457.295	380.717	678.680
712	262.286	249.858	358.142	312.331	697.212	669.751	273.245	639.511	1000.632	668.350	1396.371	283.361	298.358	474.305	282.586	396.479	376.196	388.129	772.984	5180.704	1049.404	337.650	887.378	573.742	311.662	792.041	571.410	387.614	663.635	1219.832	1285.087	1009.413	766.835	420.120	913.379	541.533	1881.400	1123.222	1258.427	1100.951	1643.633	613.244	4597.016	1610.580	1052.056	614.897	1446.861	651.187	1033.640	998.666	1277.820	606.558	1637.177	563.620	550.910	474.487	628.802	1521.987	1702.754	1168.494	2306.341	783.443	514.151	614.281	391.698	521.116	816.304	381.621	3375.278	1262.804	1306.294	2211.303	569.097	824.202	1258.222	2642.587	759.216	1958.708	1867.337	1696.327	506.628	912.285	716.228	416.823	1074.637	477.753	1219.391	263.099	404.612	255.650	988.954	673.390	1749.055	2382.110	1297.055	1020.464	1370.594	1950.052	240.437	417.695	1576.731	374.050	424.408	409.878	649.959
713	267.551	268.883	318.351	327.775	657.527	632.794	283.965	570.804	935.348	592.711	1353.159	270.976	297.211	460.284	266.938	462.124	349.608	383.096	730.331	5184.207	1039.734	326.982	879.581	568.664	299.649	839.862	568.700	346.367	698.933	1118.265	1361.696	1001.052	807.864	437.168	888.846	543.410	1945.581	1076.605	1384.139	1086.564	1530.889	591.647	4339.984	1472.034	988.619	589.124	1404.070	598.097	1099.752	1084.835	1293.779	629.151	1538.076	564.772	571.424	450.801	692.631	1481.579	1641.968	1361.756	2277.006	795.967	528.395	626.923	380.180	559.167	735.964	417.103	3239.339	1212.380	1153.266	2214.878	606.685	754.623	1234.302	2644.431	692.467	1932.184	1773.650	1499.444	520.230	930.634	658.294	394.663	1173.804	506.720	1292.913	278.043	434.236	270.037	921.030	604.066	1718.816	2417.563	1256.938	923.449	1284.799	1954.436	231.144	409.015	1560.084	391.573	457.488	416.424	578.330
714	253.931	248.847	335.152	335.805	612.062	567.367	275.152	581.918	950.900	606.125	1262.620	282.908	285.685	453.768	278.737	400.853	333.938	394.570	792.029	4983.911	1037.438	321.526	924.197	559.892	270.101	792.730	534.533	403.118	653.865	1061.974	1252.479	990.269	787.412	401.242	955.169	578.898	1845.697	944.985	1315.722	1070.407	1615.421	574.875	4503.111	1657.680	1024.609	579.738	1366.756	634.991	1023.717	1151.367	1238.368	618.142	1683.329	534.258	544.685	525.919	565.747	1484.514	1624.198	1225.062	2170.514	786.106	551.176	570.214	352.733	562.152	716.964	380.071	2967.824	1214.277	1222.051	2310.185	672.226	743.141	1139.109	2366.035	688.844	1940.773	1849.374	1390.911	479.958	911.662	692.822	403.034	1076.091	449.591	1240.057	262.308	446.906	247.227	1009.208	580.705	1754.267	2351.283	1253.854	962.359	1238.059	2035.306	244.030	379.297	1523.490	376.578	495.425	384.394	620.732
